system,Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error
tnks2,7,5j,-2.69,-2.35,0.06,-2.15,0.85
tnks2,7,8a,-2.41,2.06,0.25,1.38,0.88
tnks2,5p,5n,-0.21,-0.22,0.19,-0.36,0.48
tnks2,1a,5d,-2.33,-2.73,0.06,-2.87,0.51
tnks2,8f,5m,-0.88,-2.78,0.12,-2.83,0.55
tnks2,8f,8a,1.01,1.54,0.1,1.46,0.46
tnks2,8a,5d,-0.08,-2.22,0.13,-2.78,0.88
tnks2,5o,5m,-0.65,0.85,0.39,0.34,0.73
tnks2,5d,5m,-1.8,-1.38,0.04,-1.51,0.78
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402744_300,1.96,2.33,0.13,2.15,1.39
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402745_200,1.72,1.75,0.13,1.58,1.64
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402743_42,0.79,0.43,0.11,1.0,1.56
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,1.25,1.06,0.1,1.23,1.38
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402760_1,-1.42,-1.94,0.17,-2.73,1.91
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,0.44,-0.97,0.12,-0.58,1.91
cmet,CHEMBL3402753_200,CHEMBL3402747_3400,1.68,3.92,0.09,4.42,0.54
cmet,CHEMBL3402753_200,CHEMBL3402761_1,-3.14,-2.09,0.16,-2.53,0.49
cmet,CHEMBL3402753_200,CHEMBL3402755_4200,1.8,1.63,0.04,1.3,0.54
cmet,CHEMBL3402753_200,CHEMBL3402750_400,0.41,0.65,0.06,0.91,0.3
cmet,CHEMBL3402759_5.7,CHEMBL3402757_6.5,0.08,0.12,0.22,-0.08,1.1
cmet,CHEMBL3402759_5.7,CHEMBL3402763_90,1.63,1.02,0.27,1.35,1.44
cmet,CHEMBL3402759_5.7,CHEMBL3402758_10,0.33,-0.41,0.19,-0.54,1.44
cmet,CHEMBL3402747_3400,CHEMBL3402744_300,-1.44,-2.15,0.15,-2.11,1.09
cmet,CHEMBL3402747_3400,CHEMBL3402749_500,-1.14,-1.76,0.09,-1.74,0.37
cmet,CHEMBL3402747_3400,CHEMBL3402751_2100,-0.29,-1.55,0.08,-1.5,0.36
cmet,CHEMBL3402747_3400,CHEMBL3402752_30000,1.29,-0.95,0.09,-0.57,1.09
cmet,CHEMBL3402747_3400,CHEMBL3402755_4200,0.13,-3.14,0.09,-3.12,0.49
cmet,CHEMBL3402744_300,CHEMBL3402745_200,-0.24,-0.94,0.08,-0.56,1.35
cmet,CHEMBL3402744_300,CHEMBL3402752_30000,2.73,1.98,0.21,1.54,1.2
cmet,CHEMBL3402744_300,CHEMBL3402756_2.7,-2.79,-4.04,0.23,-4.14,1.39
cmet,CHEMBL3402744_300,CHEMBL3402757_6.5,-2.27,-4.28,0.24,-4.25,1.23
cmet,CHEMBL3402745_200,CHEMBL3402743_42,-0.92,-0.8,0.19,-0.58,1.56
cmet,CHEMBL3402745_200,CHEMBL3402742_23,-1.28,-3.01,0.24,-2.16,1.64
cmet,CHEMBL3402745_200,CHEMBL3402748_5300,1.94,1.42,0.18,1.07,0.37
cmet,CHEMBL3402745_200,CHEMBL3402752_30000,2.97,2.09,0.19,2.1,1.2
cmet,CHEMBL3402745_200,CHEMBL3402756_2.7,-2.55,-3.06,0.23,-3.57,1.59
cmet,CHEMBL3402761_1,CHEMBL3402755_4200,4.94,3.59,0.18,3.83,0.5
cmet,CHEMBL3402761_1,CHEMBL3402754_40,2.19,2.5,0.17,2.65,0.73
cmet,CHEMBL3402761_1,CHEMBL3402760_1,0.0,0.1,0.23,-0.04,1.16
cmet,CHEMBL3402761_1,CHEMBL3402762_1,0.0,-0.86,0.26,-1.55,1.16
cmet,CHEMBL3402750_400,CHEMBL3402749_500,0.13,1.68,0.09,1.77,0.3
cmet,CHEMBL3402750_400,CHEMBL3402748_5300,1.53,1.73,0.13,1.9,0.27
cmet,CHEMBL3402750_400,CHEMBL3402751_2100,0.98,2.01,0.06,2.01,0.28
cmet,CHEMBL3402743_42,CHEMBL3402758_10,-0.85,-4.61,0.61,-3.56,1.91
cmet,CHEMBL3402743_42,CHEMBL3402762_1,-2.21,-5.92,0.73,-5.24,1.58
cmet,CHEMBL3402743_42,CHEMBL3402760_1,-2.21,-4.24,0.46,-3.73,1.66
cmet,CHEMBL3402743_42,CHEMBL3402742_23,-0.36,-1.6,0.18,-1.58,1.27
cmet,CHEMBL3402743_42,CHEMBL3402764_90,0.45,0.48,0.06,0.23,1.46
cmet,CHEMBL3402743_42,CHEMBL3402763_90,0.45,-1.1,0.19,-1.67,1.38
cmet,CHEMBL3402743_42,CHEMBL3402756_2.7,-1.63,-2.35,0.72,-2.99,1.91
cmet,CHEMBL3402752_30000,CHEMBL3402754_40,-3.92,-3.65,0.11,-3.73,0.73
cmet,CHEMBL3402752_30000,CHEMBL3402751_2100,-1.58,-0.94,0.08,-0.93,0.36
cmet,CHEMBL3402755_4200,CHEMBL3402754_40,-2.76,-1.1,0.07,-1.18,0.54
cmet,CHEMBL3402758_10,CHEMBL3402742_23,0.49,1.86,0.44,1.99,1.6
cmet,CHEMBL3402758_10,CHEMBL3402760_1,-1.36,-0.6,0.1,-0.17,1.91
cmet,CHEMBL3402758_10,CHEMBL3402756_2.7,-0.78,0.21,0.1,0.57,1.37
cmet,CHEMBL3402749_500,CHEMBL3402748_5300,1.4,0.02,0.09,0.13,0.37
cmet,CHEMBL3402757_6.5,CHEMBL3402756_2.7,-0.52,0.29,0.13,0.11,1.23
cmet,CHEMBL3402762_1,CHEMBL3402760_1,0.0,1.52,0.1,1.51,1.58
cmet,CHEMBL3402742_23,CHEMBL3402763_90,0.81,-0.1,0.09,-0.1,1.44
cmet,CHEMBL3402742_23,CHEMBL3402756_2.7,-1.27,-2.8,0.37,-1.41,1.91
cmet,CHEMBL3402748_5300,CHEMBL3402751_2100,-0.55,0.17,0.13,0.11,0.36
cmet,CHEMBL3402741_400,CHEMBL3402763_90,-0.88,-0.27,0.1,-0.39,1.36
cmet,CHEMBL3402741_400,CHEMBL3402756_2.7,-2.96,-1.39,0.26,-1.71,1.46
cmet,CHEMBL3402741_400,CHEMBL3402764_90,-0.88,1.07,0.26,1.51,1.46
cmet,CHEMBL3402763_90,CHEMBL3402764_90,0.0,2.27,0.19,1.91,1.38
eg5,CHEMBL1078774,CHEMBL1089056,1.16,-0.33,0.22,0.24,0.81
eg5,CHEMBL1078774,CHEMBL1088740,1.9,1.55,0.25,0.98,0.81
eg5,CHEMBL1093087,CHEMBL1084678,-0.59,-4.28,0.24,-4.17,1.02
eg5,CHEMBL1093087,CHEMBL1096003,-1.33,-2.5,0.31,-2.53,0.8
eg5,CHEMBL1093087,CHEMBL1086409,0.66,-0.13,0.29,-0.32,1.02
eg5,CHEMBL1093087,CHEMBL1083517,-0.92,-2.14,0.25,-2.04,0.82
eg5,CHEMBL1082249,CHEMBL1086409,1.34,1.53,0.15,1.87,1.26
eg5,CHEMBL1082249,CHEMBL1077227,-0.11,1.42,0.26,1.06,1.26
eg5,CHEMBL1082249,CHEMBL1082248,-0.41,0.25,0.17,0.63,1.16
eg5,CHEMBL1082249,CHEMBL1096003,-0.65,0.01,0.36,-0.35,1.03
eg5,CHEMBL1089393,CHEMBL1093088,-2.84,-0.59,0.09,-0.69,0.52
eg5,CHEMBL1089393,CHEMBL1088740,-0.32,0.19,0.03,0.08,0.52
eg5,CHEMBL1089393,CHEMBL1085895,-2.48,-2.49,0.21,-2.28,0.44
eg5,CHEMBL1078691,CHEMBL1089056,0.75,1.21,0.16,1.14,0.56
eg5,CHEMBL1078691,CHEMBL1093088,-1.03,1.03,0.28,1.1,0.56
eg5,CHEMBL1086409,CHEMBL1082248,-1.75,-1.23,0.09,-1.24,1.08
eg5,CHEMBL1086409,CHEMBL1085666,-0.63,-0.82,0.12,-0.74,1.08
eg5,CHEMBL1086409,CHEMBL1084676,-0.84,-0.8,0.14,-0.87,1.13
eg5,CHEMBL1086409,CHEMBL1083517,-1.58,-1.72,0.15,-1.72,1.04
eg5,CHEMBL1086409,CHEMBL1086410,-1.58,-0.12,0.09,-0.5,1.26
eg5,CHEMBL1086409,CHEMBL1084678,-1.25,-4.38,0.16,-3.85,1.26
eg5,CHEMBL1082248,CHEMBL1084678,0.5,-2.84,0.16,-2.62,1.16
eg5,CHEMBL1082248,CHEMBL1086410,0.17,1.01,0.09,0.74,1.36
eg5,CHEMBL1082248,CHEMBL1083517,0.17,-0.15,0.17,-0.48,1.04
eg5,CHEMBL1082248,CHEMBL1084143,-0.24,-2.52,0.17,-1.74,1.36
eg5,CHEMBL1082248,CHEMBL1096002,0.5,0.06,0.11,0.18,1.23
eg5,CHEMBL1082248,CHEMBL1083836,0.77,0.88,0.07,0.74,0.9
eg5,CHEMBL1084678,CHEMBL1084935,0.59,3.4,0.18,4.2,1.36
eg5,CHEMBL1084678,CHEMBL1084431,1.32,3.84,0.27,3.63,1.09
eg5,CHEMBL1084678,CHEMBL1077204,0.08,1.26,0.46,1.26,1.36
eg5,CHEMBL1084678,CHEMBL1084143,-0.74,0.47,0.28,0.88,1.12
eg5,CHEMBL1084678,CHEMBL1084676,0.41,2.9,0.39,2.98,0.86
eg5,CHEMBL1084678,CHEMBL1084677,-0.33,2.53,0.17,2.32,1.12
eg5,CHEMBL1084115,CHEMBL1078998,-0.93,-0.25,0.12,-0.38,0.71
eg5,CHEMBL1084115,CHEMBL1088740,0.74,0.85,0.13,1.0,0.71
eg5,CHEMBL1084115,CHEMBL1089056,0.0,0.28,0.08,0.26,0.66
eg5,CHEMBL1084431,CHEMBL1083517,-1.65,-1.56,0.2,-1.5,0.87
eg5,CHEMBL1084431,CHEMBL1096002,-1.32,-0.81,0.22,-0.83,0.91
eg5,CHEMBL1084431,CHEMBL1085666,-0.7,-0.26,0.21,-0.51,1.09
eg5,CHEMBL1085895,CHEMBL1078998,0.49,1.08,0.25,0.99,0.76
eg5,CHEMBL1085895,CHEMBL1088740,2.16,2.06,0.19,2.36,0.76
eg5,CHEMBL1084677,CHEMBL1083836,0.6,0.93,0.12,1.03,0.9
eg5,CHEMBL1084677,CHEMBL1085692,0.13,-1.27,0.15,-1.49,1.12
eg5,CHEMBL1084677,CHEMBL1084676,0.74,0.59,0.17,0.66,0.9
eg5,CHEMBL1084677,CHEMBL1096003,-0.41,-0.54,0.24,-0.69,0.76
eg5,CHEMBL1077227,CHEMBL1085666,0.82,-0.27,0.14,0.07,1.09
eg5,CHEMBL1077227,CHEMBL1078998,0.95,0.39,0.1,0.45,0.41
eg5,CHEMBL1077227,CHEMBL1086410,-0.13,0.56,0.06,0.32,1.26
eg5,CHEMBL1077227,CHEMBL1084935,0.79,1.68,0.17,1.16,1.14
eg5,CHEMBL1086410,CHEMBL1096002,0.33,-0.55,0.13,-0.56,0.86
eg5,CHEMBL1086410,CHEMBL1089056,2.02,0.83,0.09,0.77,0.41
eg5,CHEMBL1086410,CHEMBL1084935,0.92,1.66,0.18,0.84,1.36
eg5,CHEMBL1083517,CHEMBL1085666,0.95,1.15,0.19,0.98,0.98
eg5,CHEMBL1096003,CHEMBL1084143,0.0,-0.22,0.14,-0.76,1.03
eg5,CHEMBL1077204,CHEMBL1083836,0.19,2.04,0.13,2.1,0.82
eg5,CHEMBL1077204,CHEMBL1084143,-0.82,0.27,0.57,-0.38,1.36
eg5,CHEMBL1077204,CHEMBL1084676,0.33,1.13,0.16,1.72,1.23
eg5,CHEMBL1083836,CHEMBL1085666,0.35,-0.24,0.16,-0.24,0.83
eg5,CHEMBL1083836,CHEMBL1096002,-0.27,-0.57,0.15,-0.56,0.8
eg5,CHEMBL1085692,CHEMBL1096002,0.2,1.51,0.14,1.96,1.23
eg5,CHEMBL1085692,CHEMBL1084676,0.61,2.81,0.24,2.14,1.23
eg5,CHEMBL1096002,CHEMBL1084935,0.59,0.87,0.19,1.41,1.13
eg5,CHEMBL1089056,CHEMBL1088740,0.74,0.48,0.06,0.74,0.81
eg5,CHEMBL1089056,CHEMBL1078998,-0.93,-0.8,0.09,-0.64,0.76
eg5,CHEMBL1093088,CHEMBL1088740,2.52,0.8,0.13,0.77,0.56
